debugPW2L4:debugNsKbp,fail_usefulness,5
debugPW2L4:debugNsKbp,fl_usefulness,5
debugPW2L4:debugNsKbp,pass_usefulness,5
debug7hMdL:debugZ2CQs,fail_usefulness,5
debug7hMdL:debugZ2CQs,fl_usefulness,5
debug7hMdL:debugZ2CQs,pass_usefulness,5
debug229CQX:debugMUKT1G,see_when_unavailable,9
debug229CQX:debugMUKT1G,expl_help_decision,10
debug229CQX:debugMUKT1G,expl_help_confidence,8
debugWNISVY:debugYFCQES,see_when_unavailable,8
debugWNISVY:debugYFCQES,expl_help_decision,6
debugWNISVY:debugYFCQES,expl_help_confidence,8
debugEPZBRD:debugAMM23H,see_when_unavailable,1
debugEPZBRD:debugAMM23H,expl_help_decision,7
debugEPZBRD:debugAMM23H,expl_help_confidence,7
debugU13E1U:debugLPEX1Y,see_when_unavailable,5
debugU13E1U:debugLPEX1Y,expl_help_decision,8
debugU13E1U:debugLPEX1Y,expl_help_confidence,8
debugX5CISV:debug5M1QCN,expl_help_confidence,7
debugX5CISV:debug5M1QCN,expl_help_decision,3
debugX5CISV:debug5M1QCN,see_when_unavailable,1
debuggCDk6:debugUhs5l,apr_desirability,
debuggCDk6:debugUhs5l,expl_help_confidence,
debuggCDk6:debugUhs5l,expl_help_decision,
debugY8A4w:debugEw0e6,apr_desirability,
debugY8A4w:debugEw0e6,apr_knowledge,
debugY8A4w:debugEw0e6,detail_utility,
debugY8A4w:debugEw0e6,expl_help_confidence,
debugY8A4w:debugEw0e6,expl_help_decision,
debugY8A4w:debugEw0e6,header_utility,
debugY8A4w:debugEw0e6,prog_exp,
debugY8A4w:debugEw0e6,python_exp,
debugY8A4w:debugEw0e6,status,
debugE024QU:debugRX1T44,status,3
debugE024QU:debugRX1T44,prog_exp,2
debugE024QU:debugRX1T44,python_exp,1
debugE024QU:debugRX1T44,apr_knowledge,3
debugE024QU:debugRX1T44,apr_desirability,3
debugE024QU:debugRX1T44,expl_help_decision,4
debugE024QU:debugRX1T44,expl_help_confidence,4
debugE024QU:debugRX1T44,header_utility,4
debugE024QU:debugRX1T44,detail_utility,0
debugE024QU:debugRX1T44,actual_exec,4
