debugPW2L4:debugNsKbp,0,1678189658738,"{""action"": ""Begin"", ""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/instruct-2.html"", ""instructions/instruct-3.html"", ""instructions/example_page.html"", ""instructions/instruct-ready.html""]}"
debugPW2L4:debugNsKbp,1,1678189659767,"{""action"": ""NextPage"", ""indexOf"": 0, ""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-2.html"", ""viewTime"": 1027}"
debugPW2L4:debugNsKbp,2,1678189661523,"{""action"": ""NextPage"", ""indexOf"": 1, ""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-3.html"", ""viewTime"": 1754}"
debugPW2L4:debugNsKbp,3,1678189669189,"{""action"": ""NextPage"", ""indexOf"": 2, ""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/example_page.html"", ""viewTime"": 7614}"
debugPW2L4:debugNsKbp,4,1678189670299,"{""action"": ""FinishInstructions"", ""indexOf"": 3, ""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-ready.html"", ""viewTime"": 1101}"
debugPW2L4:debugNsKbp,5,1678189680299,"{""bug_name"": ""ARHE159"", ""info_level"": 1, ""phase"": ""TEST"", ""q1_answ"": ""yes"", ""q2_answ"": ""se"", ""q3_answ"": ""yes"", ""rt"": 9960, ""used_explanation"": true}"
debugPW2L4:debugNsKbp,6,1678189685844,"{""bug_name"": ""ARHE090"", ""info_level"": 1, ""phase"": ""TEST"", ""q1_answ"": ""yes"", ""q2_answ"": ""se"", ""q3_answ"": ""yes"", ""rt"": 5541, ""used_explanation"": true}"
debugPW2L4:debugNsKbp,7,1678189685849,"{""phase"": ""postquestionnaire"", ""status"": ""begin""}"
debugPW2L4:debugNsKbp,8,1678189689857,"{""phase"": ""postquestionnaire"", ""status"": ""submit""}"
debugPW2L4:debugNsKbp,9,1678191365730,"{""action"": ""Begin"", ""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/instruct-2.html"", ""instructions/instruct-3.html"", ""instructions/example_page.html"", ""instructions/instruct-ready.html""]}"
debugPW2L4:debugNsKbp,10,1678191366484,"{""action"": ""NextPage"", ""indexOf"": 0, ""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-2.html"", ""viewTime"": 753}"
debugPW2L4:debugNsKbp,11,1678191367793,"{""action"": ""NextPage"", ""indexOf"": 1, ""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-3.html"", ""viewTime"": 1303}"
debugPW2L4:debugNsKbp,12,1678191368496,"{""action"": ""NextPage"", ""indexOf"": 2, ""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/example_page.html"", ""viewTime"": 647}"
debugPW2L4:debugNsKbp,13,1678191369464,"{""action"": ""FinishInstructions"", ""indexOf"": 3, ""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-ready.html"", ""viewTime"": 962}"
debugPW2L4:debugNsKbp,14,1678191683438,"{""action"": ""Begin"", ""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/instruct-2.html"", ""instructions/instruct-3.html"", ""instructions/example_page.html"", ""instructions/instruct-ready.html""]}"
debugPW2L4:debugNsKbp,15,1678191684129,"{""action"": ""NextPage"", ""indexOf"": 0, ""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-2.html"", ""viewTime"": 689}"
debugPW2L4:debugNsKbp,16,1678191685313,"{""action"": ""NextPage"", ""indexOf"": 1, ""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-3.html"", ""viewTime"": 1183}"
debugPW2L4:debugNsKbp,17,1678191685736,"{""action"": ""NextPage"", ""indexOf"": 2, ""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/example_page.html"", ""viewTime"": 396}"
debugPW2L4:debugNsKbp,18,1678191686680,"{""action"": ""FinishInstructions"", ""indexOf"": 3, ""phase"": ""INSTRUCTIONS"", ""template"": ""instructions/instruct-ready.html"", ""viewTime"": 942}"
debugPW2L4:debugNsKbp,19,1678191822769,"{""action"": ""Begin"", ""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/instruct-2.html"", ""instructions/instruct-3.html"", ""instructions/example_page.html"", ""instructions/instruct-ready.html""]}"
